k,estimate number unique words,real number unique words,error,relative error
8,4112.141749739368,3136,976.1417497393677,0.3112696906056657
16,3123.1915361559672,3136,12.808463844032758,0.004084331582918609
32,3334.094725783162,3136,198.09472578316218,0.06316796102779407
64,3775.240218081328,3136,639.2402180813278,0.20383935525552546
128,3441.2330111075016,3136,305.2330111075016,0.09733195507254516
256,3163.6587617676455,3136,27.6587617676455,0.008819758216723693
512,3093.4008689196035,3136,42.599131080396546,0.013583906594514205
