k,estimate number unique words,real number unique words,error,relative error
8,4626.284468456788,6245,1618.715531543212,0.2592018465241332
16,3318.453507165715,6245,2926.546492834285,0.46862233672286385
32,7893.035901408253,6245,1648.0359014082533,0.2638968617146923
64,7704.400479467646,6245,1459.4004794676457,0.23369102953845408
128,7208.673990097582,6245,963.6739900975817,0.15431128744556954
256,7036.595185226356,6245,791.5951852263561,0.1267566349441723
512,6752.645003028998,6245,507.64500302899796,0.08128823106949527
