k,estimate number unique words,real number unique words,error,relative error
8,8337.516863339382,5670,2667.5168633393823,0.47046152792581697
16,2939.4155634409103,5670,2730.5844365590897,0.4815845567123615
32,8394.12216468124,5670,2724.122164681239,0.4804448262224408
64,6396.269160020927,5670,726.2691600209273,0.12808979894548983
128,5797.0624508549,5670,127.06245085489991,0.02240960332537917
256,6186.996611319943,5670,516.9966113199434,0.09118106019752088
512,5577.181274092248,5670,92.8187259077522,0.01637014566274289
