k,estimate number unique words,real number unique words,error,relative error
8,6587.45776856445,9425,2837.54223143555,0.3010654887464775
16,8240.39388445736,9425,1184.6061155426396,0.12568765151646044
32,9790.445887023538,9425,365.4458870235376,0.03877409941894298
64,10343.97596835117,9425,918.9759683511693,0.09750408152267048
128,11233.683553624453,9425,1808.6835536244525,0.19190276431028674
256,8995.907120467962,9425,429.09287953203784,0.045527095971569
512,9209.336264977417,9425,215.66373502258284,0.0228820939016003
