k,estimate number unique words,real number unique words,error,relative error
8,3655.1259997683264,8925,5269.874000231674,0.5904620728550894
16,4774.735024899509,8925,4150.264975100491,0.46501568348464883
32,5290.363496655065,8925,3634.6365033449347,0.4072421852487322
64,8071.2641245796285,8925,853.7358754203715,0.09565668071936935
128,12237.77614561492,8925,3312.77614561492,0.3711794000688986
256,9612.398015038667,8925,687.3980150386669,0.0770193854385061
512,8255.972815276536,8925,669.0271847234635,0.07496102910066818
