k,estimate number unique words,real number unique words,error,relative error
8,4112.141749739368,5829,1716.8582502606323,0.2945373563665521
16,5390.357117952962,5829,438.64288204703826,0.07525182399160033
32,6562.195302522894,5829,733.195302522894,0.1257840628792064
64,6805.567478156004,5829,976.5674781560037,0.16753602301526913
128,6826.432930122618,5829,997.432930122618,0.17111561676490272
256,6383.036058639698,5829,554.0360586396982,0.09504821729965658
512,6053.574077396662,5829,224.57407739666178,0.038527033349916244
