k,estimate number unique words,real number unique words,error,relative error
8,13355.691684660569,23034,9678.308315339431,0.420174885618626
16,11158.516140560125,23034,11875.483859439875,0.5155632482174123
32,14606.581846856938,23034,8427.418153143062,0.3658686356318079
64,18936.882158954693,23034,4097.117841045307,0.17787261617805447
128,23347.364542890955,23034,313.3645428909549,0.013604434439999778
256,25377.927800670852,23034,2343.927800670852,0.10175947732355874
512,24053.610068853366,23034,1019.6100688533661,0.04426543669590024
