k,estimate number unique words,real number unique words,error,relative error
8,3655.1259997683264,17475,13819.874000231674,0.7908368526598955
16,9302.76106487569,17475,8172.238935124309,0.4676531579470277
32,12914.83481753832,17475,4560.16518246168,0.2609536585099674
64,10184.822491914998,17475,7290.177508085002,0.4171775398045781
128,13125.70294117461,17475,4349.29705882539,0.24888681309444294
256,14362.894259912422,17475,3112.105740087578,0.17808902661445367
512,14739.081443573175,17475,2735.9185564268246,0.15656186302871672
