m,estimate number unique words,real number unique words,error,relative error
8,25897,23034,2863,0.12429452114265868
16,22884,23034,150,0.006512112529304506
32,24898,23034,1864,0.08092385169749067
64,21167,23034,1867,0.08105409394807675
128,21839,23034,1195,0.051879829816792566
256,22330,23034,704,0.030563514804202482
512,22345,23034,689,0.029912303551272033
