m,estimate number unique words,real number unique words,error,relative error
8,7671,8925,1254,0.14050420168067226
16,8598,8925,327,0.03663865546218487
32,9344,8925,419,0.046946778711484595
64,8390,8925,535,0.05994397759103642
128,8762,8925,163,0.018263305322128852
256,8682,8925,243,0.02722689075630252
512,9119,8925,194,0.02173669467787115
