m,estimate number unique words,real number unique words,error,relative error
8,10774,9425,1349,0.14312997347480105
16,11532,9425,2107,0.22355437665782493
32,11443,9425,2018,0.21411140583554378
64,11253,9425,1828,0.19395225464190982
128,10117,9425,692,0.07342175066312998
256,10105,9425,680,0.07214854111405836
512,9493,9425,68,0.007214854111405836
