m,estimate number unique words,real number unique words,error,relative error
8,9225,5829,3396,0.5826042202779207
16,6887,5829,1058,0.1815062617944759
32,6741,5829,912,0.1564590838908904
64,5901,5829,72,0.012352032938754504
128,5504,5829,325,0.05575570423743352
256,5683,5829,146,0.02504717790358552
512,5825,5829,4,0.0006862240521530279
