m,estimate number unique words,real number unique words,error,relative error
8,8242,6245,1997,0.3197758206565252
16,7000,6245,755,0.12089671737389912
32,6783,6245,538,0.08614891913530824
64,6066,6245,179,0.02866293034427542
128,6266,6245,21,0.0033626901521216974
256,6102,6245,143,0.02289831865492394
512,6285,6245,40,0.006405124099279423
