m,estimate number unique words,real number unique words,error,relative error
8,4481,3136,1345,0.428890306122449
16,3629,3136,493,0.15720663265306123
32,4252,3136,1116,0.35586734693877553
64,3607,3136,471,0.15019132653061223
128,3250,3136,114,0.03635204081632653
256,3309,3136,173,0.055165816326530615
512,3089,3136,47,0.014987244897959183
