m,estimate number unique words,real number unique words,error,relative error
8,17795,17475,320,0.018311874105865523
16,20280,17475,2805,0.16051502145922747
32,18997,17475,1522,0.0870958512160229
64,19432,17475,1957,0.11198855507868384
128,18241,17475,766,0.04383404864091559
256,17648,17475,173,0.009899856938483548
512,17766,17475,291,0.016652360515021458
