m,estimate number unique words,real number unique words,error,relative error
8,6609,5670,939,0.16560846560846562
16,6317,5670,647,0.11410934744268078
32,5700,5670,30,0.005291005291005291
64,5618,5670,52,0.009171075837742505
128,5510,5670,160,0.02821869488536155
256,5498,5670,172,0.030335097001763667
512,5727,5670,57,0.010052910052910053
